name,price
Agua Brisa manzana con gas pet x600ml,$ 1113
 ,$ 1117
Gaseosa Fanta naranja lata x235ml,$ 1117
 ,$ 1150
Gaseosa Fanta rojo lata x235ml,$ 1150
 ,$ 1150
Refresco pulpy maracuya x200ml,$ 1150
 ,$ 1155
Bebida energizante spartan energy lata x269ml,$ 495
 ,$ 693
Bebida del valle fresh jugo frutas citricas x400ml,$ 833
 ,$ 833
Refresco light mora tetrabrik Hit x200ml,$ 990
 ,$ 990
Refresco light mango tetrabrik Hit x200ml,$ 1025
 ,$ 1043
Blanqueador blancox desinfect.flo.vitalx2000ml,$ 6013
 ,$ 6190
Repuesto Mr Musculo limpiador de vidrios fragancia lavanda x500ml,$ 6190
 ,$ 6190
Repuesto Liquido Vidrios y Multiuso Campos De Lavanda Mr Musculo x 500ml,$ 6190
 ,$ 6190
Eliminador Olores Familia Menta Fresca X35ml,$ 6390
 ,$ 6390
Refresco Tutti Frutti salpicon x1.5l,$ 1603
 ,$ 1603
Refresco Tutti Frutti naranja x1.5l,$ 1690
 ,$ 1690
Gaseosa Sprite limón pet x400ml,$ 1690
 ,$ 1690
Gaseosa Quatro toronja pet x400ml,$ 1690
 ,$ 1750
Desinfectantepinolina vinagre manzanaverde x1000ml,$ 5190
 ,$ 5390
Limpia Pisos Fabuloso Mar Fresco Multiusos x1L,$ 5590
 ,$ 5590
Pastillas Bufalo cloro efervescentes x12und,$ 5590
 ,$ 5590
Aromatizante Glade cono hawaiian breeze x170g,$ 5590
 ,$ 5790
Leche alqueria entera tetrapack x180ml,$ 1290
 ,$ 1290
Bebida láctea San Fernando vaso mora x 150 ml,$ 1290
 ,$ 1290
Bebida láctea fresa vaso San Fernando x 150 ml,$ 1352
 ,$ 1352
Bebida láctea melocotón vaso San Fernando x 150 ml,$ 1352
 ,$ 1352
Desinfectante limpiador Máxima floral x2000ml,$ 4090
 ,$ 4190
Aromatizante glade  gel mora radiantex70g,$ 4190
 ,$ 4190
Aromatizante glade alegria floral frutos r.gelx70g,$ 4190
 ,$ 4190
Aromatizante Glade en gel lavanda x70g,$ 4190
 ,$ 4290
Blanqueador Patojito corriente x1800ml,$ 4590
 ,$ 4690
Blanqueador Patojito limón x 1.800 ml,$ 4690
 ,$ 4790
Blanqueador Patojito floral x 1.800 ml,$ 4790
 ,$ 4790
Paños Task desinfectantes multiuso pino x12und,$ 4794
 ,$ 4890
Margarina Cheff esparcible barra x 125 g,$ 1550
 ,$ 1560
Yogurt vida melocoton x100ml,$ 1560
 ,$ 1560
Yogurt vida mora x100ml,$ 1590
 ,$ 1590
Yogurt vida fresa x100ml,$ 1590
 ,$ 1590
Yogurt melón Freskaleche x150 ml,$ 672
 ,$ 760
Yogurt Freskaleche probiotico arequipe con pasas x150g,$ 768
 ,$ 872
Yogurt fresa Freskaleche x150ml,$ 872
 ,$ 872
Gelatina colanta uva x 120g,$ 872
 ,$ 1090
Pasta Clásica Fideo Doria x 500 g.,$ 4190
 ,$ 4190
Pasta Clásica Concha Doria x 500 g.,$ 4190
 ,$ 4190
Pasta Clásica Spaghetti Doria x 500 g.,$ 4390
 ,$ 4590
Pasta Clásica Rigatoni Doria x 500 g.,$ 4690
 ,$ 4990
Pasta Tornillos Verduras Doria x 250 g.,$ 2990
 ,$ 3290
Macarrón instantáneo con queso Doria  x53g,$ 3390
 ,$ 3590
Pasta Spaghetti Puglies x 1000 g,$ 3672
 ,$ 3790
Pasta Pugliese macarrón grueso x 1000 g,$ 3832
 ,$ 3832
Limpiador limpia ya juntas spray x 500m,$ 2990
 ,$ 3090
Limpiador anti hongos Máxima x500ml,$ 3290
 ,$ 3493
Ambientador En Gel De Bolsa Para Espacios Pequeños Manzana y Canela Glade x 31g,$ 3590
 ,$ 3590
Blanqueador Blancox floral x 1000ml,$ 3590
 ,$ 3714
Petito colanta mora x 2und x 50g -u,$ 1880
 ,$ 1880
Petito colanta melocotón x 2und x 50g c-u,$ 1890
 ,$ 1890
Yogurt Gloria melocoton x 150 g,$ 1890
 ,$ 1890
Yogurt Gloria mora x 150 g,$ 1890
 ,$ 1890
Arepa maíz mediana El Carriel x 4 unidades x 300g,$ 1592
 ,$ 1592
Yogurt con cereal Freskaleche azucarado x170g,$ 1620
 ,$ 1690
Yogurt San Fernando hojuelas x 170 g,$ 1750
 ,$ 1750
Leche alqueria deslactosada tetrapack x180ml,$ 1790
 ,$ 1790
Arveja La Coruña Natural x 310g,$ 2712
 ,$ 2792
Garbanzo La Coruña natural x 310 g,$ 2990
 ,$ 3390
Mix Predilecta patata arveja zanahoria x 280g,$ 3390
 ,$ 3390
Maiz predilecta x280g,$ 3390
 ,$ 3490
Salchichas Zenú viena limón pimienta x 8 und x 150g,$ 3790
 ,$ 3790
Alcaparras Al Fresco x125g,$ 3890
 ,$ 3990
Sardina en salsa de tomate pascuali x 155g,$ 3990
 ,$ 3990
Ensalada San Jorge legumbres lata x300g,$ 3990
 ,$ 4152
Pasta Clásica Conchita Doria x 250 g.,$ 2290
 ,$ 2290
Pasta Clásica Letras Doria x 250 g.,$ 2392
 ,$ 2392
Pasta La Muñeca concha x250g+cabello de ángel La Muñeca x250g,$ 2472
 ,$ 2472
Pasta Tornillo Mantequilla Pastas La Muñeca x 250g,$ 2552
 ,$ 2632
Pasta Comarrico Spaguetti x 250 g.,$ 1690
 ,$ 1990
Pastas pugliese fideo x400g,$ 1990
 ,$ 2190
Pastas pugliese spaghetti x400g,$ 2190
 ,$ 2232
Pasta Clásica Macarrón Corto Doria x 250 g.,$ 2290
 ,$ 2290
Cafe oporto excelso premium arabica x250g,$ 11.990
 ,$ 11.990
Capsula Matiz Ébano Expreso X10Und X8G,$ 11.990
 ,$ 12.190
Café Bemoka Tradicional x500g,$ 12.313
 ,$ 12.390
Café La Bastilla tostado molido fuerte x450g,$ 13.013
 ,$ 13.153
Pasta Fideo Pugliese x 125g,$ 552
 ,$ 690
Macarroncito Puglies x 125g,$ 690
 ,$ 1032
Pasta Spaghetti Puglies x 125g,$ 1090
 ,$ 1090
Pasta Pugliese fideo x 250g,$ 1090
 ,$ 1090
Fideo San remo x 250g,$ 1390
 ,$ 1592
Pasta Bucatini Pastas La Muñeca x 250g,$ 1592
 ,$ 1592
Pasta Spaghetti Pastas La muñeca x 250g,$ 1592
 ,$ 1592
Pasta Cabello De Ángel Pastas La Muñeca x 250g,$ 1592
 ,$ 1592
Frijol Diana Zaragoza x 500g,$ 5390
 ,$ 5390
Arroz blanco Diana Premium x 1000 g,$ 5590
 ,$ 5790
Frijol Diana bola roja x 500g,$ 5790
 ,$ 5790
Arroz Federal premium x1000g,$ 5790
 ,$ 5990
Aceite gourmet familia frito experto x1000ml,$ 14.590
 ,$ 14.792
Aceite girasol premier Frasco x 1000 ml,$ 15.590
 ,$ 16.590
Aceite Fino Girasol Light x 1000ml,$ 19.590
 ,$ 19.990
Aceite Gourmet Familia x1000ml,$ 19.990
 ,$ 19.990
Aceite de mantequilla spray  Pam x 141ml,$ 23.590
 ,$ 23.990
Aceite de canola spray Pam x 170ml,$ 24.890
 ,$ 24.990
Aceite Oleosander vegetal x3000 cm3,$ 24.990
 ,$ 24.990
Aceite Diana vitaminas x3000ml,$ 25.490
 ,$ 25.990
Crema Águila Roja instantánea n olactea tarro x 175g,$ 6190
 ,$ 6190
Café Tradicional Mariscal x 250G,$ 6390
 ,$ 6990
Café Tradicional Bemoka x250g,$ 6990
 ,$ 7190
Café Instantáneo Vainilla x 50 G.,$ 7190
 ,$ 7190
Café Buendia Descaféinado Frasco x 50G,$ 7790
 ,$ 7790
Café Buendia Clasico x 50G,$ 8190
 ,$ 8390
Modificador quaker avena inst. x2und x180g pr.esp.,$ 8390
 ,$ 8990
Café Molido New Colony x 200G,$ 9290
 ,$ 9390
Maíz Retrillado Amarillo La Frijolera x 1000 g,$ 3390
 ,$ 3423
Arroz Supremo Premium x 1000 g,$ 3490
 ,$ 3550
Lenteja Aburrá x 500 g,$ 3590
 ,$ 3590
Frijol cuisine&co caraota x500g,$ 3590
 ,$ 3590
Cafe oporto x125g,$ 2890
 ,$ 4290
Modificador quaker avena instantanea originalx180g,$ 4990
 ,$ 5390
Mezcla Chocolisto chocolate x220g,$ 5390
 ,$ 5390
Café Cappuccino Clásico Light Colcafé x 72 G.,$ 5590
 ,$ 5600
Aceite olivetto extra virgen spray x183g,$ 36.990
 ,$ 36.990
Aceite Olivetto Suave x 500 ml,$ 36.990
 ,$ 39.990
Aceite Olivetto Intenso x 500ml,$ 39.990
 ,$ 41.272
Aceite cuisine&co oliva extra virgen x1l,$ 41.272
 ,$ 42.990
Maíz pira Tot x 500g,$ 3890
 ,$ 3890
Lenteja x 500 grs la frijolera,$ 3990
 ,$ 4390
Frijol Diana calima x 500g,$ 4490
 ,$ 4590
Arroz Caribe x 1000 g Con Vita +,$ 4690
 ,$ 4790
Arveja Aburrá x 500 g,$ 2450
 ,$ 2583
Arroz Supremo  x 1000 g,$ 2590
 ,$ 2790
Arveja Diana alta calidad x 500g,$ 2890
 ,$ 2990
Maiz pira diana crispetas alta calidad x500g,$ 3213
 ,$ 3290
Aceite Fino Light X 1800 Cc Tropi,$ 27.990
 ,$ 27.990
Aceite de oliva español Sublime extra virgen x 500 ml,$ 28.792
 ,$ 28.990
Aceite girasol premier garrafa x 2000 ml,$ 30.990
 ,$ 31.990
Aceite De Oliva Puro Ybarra Pet x 1 L,$ 32.190
 ,$ 32.792
Maiz cuisine&co blanco trillado x500g,$ 1550
 ,$ 1590
Arroz blanco Máxima x500g,$ 1590
 ,$ 1890
Cuchuco La Floresta x500g,$ 1990
 ,$ 1990
Cuchuco del cultivo maiz x 500 g,$ 1990
 ,$ 1990
Refresco Tutti Frutti salpicon x1.5l,$ 1603
 ,$ 1603
Refresco Tutti Frutti naranja x1.5l,$ 1690
 ,$ 1690
Gaseosa Sprite limón pet x400ml,$ 1690
 ,$ 1690
Gaseosa Quatro toronja pet x400ml,$ 1690
 ,$ 1750
Agua Brisa manzana con gas pet x600ml,$ 1113
 ,$ 1117
Gaseosa Fanta naranja lata x235ml,$ 1117
 ,$ 1150
Gaseosa Fanta rojo lata x235ml,$ 1150
 ,$ 1150
Refresco pulpy maracuya x200ml,$ 1150
 ,$ 1155
Bebida energizante spartan energy lata x269ml,$ 495
 ,$ 693
Bebida del valle fresh jugo frutas citricas x400ml,$ 833
 ,$ 833
Refresco light mora tetrabrik Hit x200ml,$ 990
 ,$ 990
Refresco light mango tetrabrik Hit x200ml,$ 1025
 ,$ 1043
Desinfectantepinolina vinagre manzanaverde x1000ml,$ 5190
 ,$ 5390
Limpia Pisos Fabuloso Mar Fresco Multiusos x1L,$ 5590
 ,$ 5590
Pastillas Bufalo cloro efervescentes x12und,$ 5590
 ,$ 5590
Aromatizante Glade cono hawaiian breeze x170g,$ 5590
 ,$ 5790
Blanqueador blancox desinfect.flo.vitalx2000ml,$ 6013
 ,$ 6190
Repuesto Mr Musculo limpiador de vidrios fragancia lavanda x500ml,$ 6190
 ,$ 6190
Repuesto Liquido Vidrios y Multiuso Campos De Lavanda Mr Musculo x 500ml,$ 6190
 ,$ 6190
Eliminador Olores Familia Menta Fresca X35ml,$ 6390
 ,$ 6390
Blanqueador Patojito corriente x1800ml,$ 4590
 ,$ 4690
Blanqueador Patojito limón x 1.800 ml,$ 4690
 ,$ 4790
Blanqueador Patojito floral x 1.800 ml,$ 4790
 ,$ 4790
Paños Task desinfectantes multiuso pino x12und,$ 4794
 ,$ 4890
Desinfectante limpiador Máxima floral x2000ml,$ 4090
 ,$ 4190
Aromatizante glade  gel mora radiantex70g,$ 4190
 ,$ 4190
Aromatizante glade alegria floral frutos r.gelx70g,$ 4190
 ,$ 4190
Aromatizante Glade en gel lavanda x70g,$ 4190
 ,$ 4290
Limpiador limpia ya juntas spray x 500m,$ 2990
 ,$ 3090
Limpiador anti hongos Máxima x500ml,$ 3290
 ,$ 3493
Ambientador En Gel De Bolsa Para Espacios Pequeños Manzana y Canela Glade x 31g,$ 3590
 ,$ 3590
Blanqueador Blancox floral x 1000ml,$ 3590
 ,$ 3714
Petito colanta mora x 2und x 50g -u,$ 1880
 ,$ 1880
Petito colanta melocotón x 2und x 50g c-u,$ 1890
 ,$ 1890
Yogurt Gloria melocoton x 150 g,$ 1890
 ,$ 1890
Yogurt Gloria mora x 150 g,$ 1890
 ,$ 1890
Arepa maíz mediana El Carriel x 4 unidades x 300g,$ 1592
 ,$ 1592
Yogurt con cereal Freskaleche azucarado x170g,$ 1620
 ,$ 1690
Yogurt San Fernando hojuelas x 170 g,$ 1750
 ,$ 1750
Leche alqueria deslactosada tetrapack x180ml,$ 1790
 ,$ 1790
Margarina Cheff esparcible barra x 125 g,$ 1550
 ,$ 1560
Yogurt vida melocoton x100ml,$ 1560
 ,$ 1560
Yogurt vida mora x100ml,$ 1590
 ,$ 1590
Yogurt vida fresa x100ml,$ 1590
 ,$ 1590
Leche alqueria entera tetrapack x180ml,$ 1290
 ,$ 1290
Bebida láctea San Fernando vaso mora x 150 ml,$ 1290
 ,$ 1290
Bebida láctea fresa vaso San Fernando x 150 ml,$ 1352
 ,$ 1352
Bebida láctea melocotón vaso San Fernando x 150 ml,$ 1352
 ,$ 1352
Yogurt melón Freskaleche x150 ml,$ 672
 ,$ 760
Yogurt Freskaleche probiotico arequipe con pasas x150g,$ 768
 ,$ 872
Yogurt fresa Freskaleche x150ml,$ 872
 ,$ 872
Gelatina colanta uva x 120g,$ 872
 ,$ 1090
Arveja La Coruña Natural x 310g,$ 2712
 ,$ 2792
Garbanzo La Coruña natural x 310 g,$ 2990
 ,$ 3390
Mix Predilecta patata arveja zanahoria x 280g,$ 3390
 ,$ 3390
Maiz predilecta x280g,$ 3390
 ,$ 3490
Pasta Clásica Fideo Doria x 500 g.,$ 4190
 ,$ 4190
Pasta Clásica Concha Doria x 500 g.,$ 4190
 ,$ 4190
Pasta Clásica Spaghetti Doria x 500 g.,$ 4390
 ,$ 4590
Pasta Clásica Rigatoni Doria x 500 g.,$ 4690
 ,$ 4990
Salchichas Zenú viena limón pimienta x 8 und x 150g,$ 3790
 ,$ 3790
Alcaparras Al Fresco x125g,$ 3890
 ,$ 3990
Sardina en salsa de tomate pascuali x 155g,$ 3990
 ,$ 3990
Ensalada San Jorge legumbres lata x300g,$ 3990
 ,$ 4152
Pasta Clásica Conchita Doria x 250 g.,$ 2290
 ,$ 2290
Pasta Clásica Letras Doria x 250 g.,$ 2392
 ,$ 2392
Pasta La Muñeca concha x250g+cabello de ángel La Muñeca x250g,$ 2472
 ,$ 2472
Pasta Tornillo Mantequilla Pastas La Muñeca x 250g,$ 2552
 ,$ 2632
Pasta Tornillos Verduras Doria x 250 g.,$ 2990
 ,$ 3290
Macarrón instantáneo con queso Doria  x53g,$ 3390
 ,$ 3590
Pasta Spaghetti Puglies x 1000 g,$ 3672
 ,$ 3790
Pasta Pugliese macarrón grueso x 1000 g,$ 3832
 ,$ 3832
Pasta Comarrico Spaguetti x 250 g.,$ 1690
 ,$ 1990
Pastas pugliese fideo x400g,$ 1990
 ,$ 2190
Pastas pugliese spaghetti x400g,$ 2190
 ,$ 2232
Pasta Clásica Macarrón Corto Doria x 250 g.,$ 2290
 ,$ 2290
Fideo San remo x 250g,$ 1390
 ,$ 1592
Pasta Bucatini Pastas La Muñeca x 250g,$ 1592
 ,$ 1592
Pasta Spaghetti Pastas La muñeca x 250g,$ 1592
 ,$ 1592
Pasta Cabello De Ángel Pastas La Muñeca x 250g,$ 1592
 ,$ 1592
Aceite olivetto extra virgen spray x183g,$ 36.990
 ,$ 36.990
Aceite Olivetto Suave x 500 ml,$ 36.990
 ,$ 39.990
Aceite Olivetto Intenso x 500ml,$ 39.990
 ,$ 41.272
Aceite cuisine&co oliva extra virgen x1l,$ 41.272
 ,$ 42.990
Pasta Fideo Pugliese x 125g,$ 552
 ,$ 690
Macarroncito Puglies x 125g,$ 690
 ,$ 1032
Pasta Spaghetti Puglies x 125g,$ 1090
 ,$ 1090
Pasta Pugliese fideo x 250g,$ 1090
 ,$ 1090
Cafe oporto excelso premium arabica x250g,$ 11.990
 ,$ 11.990
Capsula Matiz Ébano Expreso X10Und X8G,$ 11.990
 ,$ 12.190
Café Bemoka Tradicional x500g,$ 12.313
 ,$ 12.390
Café La Bastilla tostado molido fuerte x450g,$ 13.013
 ,$ 13.153
Crema Águila Roja instantánea n olactea tarro x 175g,$ 6190
 ,$ 6190
Café Tradicional Mariscal x 250G,$ 6390
 ,$ 6990
Café Tradicional Bemoka x250g,$ 6990
 ,$ 7190
